ano,eleicao,cargo,turno,titulo,url
2014,Proporcional,Deputado Estadual,,PSTU,https://drive.google.com/file/d/1Vi3RnAaBfMML8K6bjC6ZJkU185RULEg-/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PT,https://drive.google.com/file/d/1Vhx9gc-TfmBRwrPcHgYLTw4WC-pKsFQZ/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PT do B,https://drive.google.com/file/d/183nKbJJJUQhEDSKmmIgCZH4xG3-WXR-B/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PTB,https://drive.google.com/file/d/1z5Q6--RpOztLem9iaJBlfEnnbBWguoRZ/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PTC,https://drive.google.com/file/d/1p60lMRe7MzO3JwGzAkqBNxlQ6an6Coto/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PTN,https://drive.google.com/file/d/1N10pXZAWk1u-9ijEi_9UPAC0DSW1QarT/view?usp=sharing
2014,Proporcional,Deputado Estadual,,PV,https://drive.google.com/file/d/1SsgQNH5R57-zb-bEDuEZ6oRvzUOsIikT/view?usp=sharing
2014,Proporcional,Deputado Estadual,,SDD,https://drive.google.com/file/d/1O-xsygRKpxZgAE4i0hlgVIa6vm4yZ5TQ/view?usp=sharing
2014,Proporcional,Deputado Federal,,DEM,https://drive.google.com/file/d/14wzO66hMOJeo1iSG3z5aafb46Vehv5BR/view?usp=sharing
2014,Proporcional,Deputado Federal,,PC do B,https://drive.google.com/file/d/1EA-DKCZLNJJsCP4lqLwL7mNpk57jgiAH/view?usp=sharing
2014,Proporcional,Deputado Federal,,PCB,https://drive.google.com/file/d/1fvGJzbN_Ez3fj-ZL5r1d0Q4X23YimmWj/view?usp=sharing
2014,Proporcional,Deputado Federal,,PCO,https://drive.google.com/file/d/1fqhf72Wvi-h7qlGsTyQvSSU9EgnprtvB/view?usp=sharing
2014,Proporcional,Deputado Federal,,PDT,https://drive.google.com/file/d/1iT9k0OQ7TA6AMlbuWN5fwcGEPXnaRM9l/view?usp=sharing
2014,Proporcional,Deputado Federal,,PEN,https://drive.google.com/file/d/1xUStVsmsYXF7rOja0kJzLHmyyodGyD0n/view?usp=sharing
2014,Proporcional,Deputado Federal,,PHS,https://drive.google.com/file/d/1Ixl6hoe1xGw-XnNfMx_yCfhC6C5Q9P_S/view?usp=sharing
2014,Proporcional,Deputado Federal,,PMDB,https://drive.google.com/file/d/1z8WQztE18iq3T4exhu9rKIBDbyUFc979/view?usp=sharing
2014,Proporcional,Deputado Federal,,PMN,https://drive.google.com/file/d/1d3Ee0KUNZyScR3SciF49f8jgv5g6N7Xu/view?usp=sharing
2014,Proporcional,Deputado Federal,,PP,https://drive.google.com/file/d/12u3uHAfl4hykJMmh2f-TZyb7df67trQz/view?usp=sharing
2014,Proporcional,Deputado Federal,,PPL,https://drive.google.com/file/d/1yxK5-6d-q-m2Qh1Mw7pITM7m5bQcmgBu/view?usp=sharing
2014,Proporcional,Deputado Federal,,PPS,https://drive.google.com/file/d/1vlV7PQedbiniazScIiioRpgFczEXvBR5/view?usp=sharing
2014,Proporcional,Deputado Federal,,PR,https://drive.google.com/file/d/1ryQ_oL00Fklp_utXNC3szWFwoxkzkiIb/view?usp=sharing
2014,Proporcional,Deputado Federal,,PRB,https://drive.google.com/file/d/12fl2Tqrr5aeSqCNu6-HGVwRXbaCph_-Q/view?usp=sharing
2014,Proporcional,Deputado Federal,,PROS,https://drive.google.com/file/d/17oaYUmTK6oiqw0m1RPA4LEoz0tEgL8X2/view?usp=sharing
2014,Proporcional,Deputado Federal,,PRP,https://drive.google.com/file/d/1myvwW9fLc1ML5Aw0vuyKLCt4WMTSJPJR/view?usp=sharing
2014,Proporcional,Deputado Federal,,PRTB,https://drive.google.com/file/d/1J3XwBu9rvYQPSOtv7D5mhZyZTpiN7OEh/view?usp=sharing
2014,Proporcional,Deputado Federal,,PSB,https://drive.google.com/file/d/1idPmU73GuGO_wogmdjs2sAI1jgauHhWD/view?usp=sharing
2014,Proporcional,Deputado Federal,,PSC,https://drive.google.com/file/d/1tHF0on8D5u1wpBEFZj9y7xFOrxL_Cggn/view?usp=sharing
2014,Proporcional,Deputado Federal,,PSD,https://drive.google.com/file/d/1nR-D-2GLDJtSvREFxOlX8Ny1tokELfqm/view?usp=sharing
2014,Proporcional,Deputado Federal,,PSDB,https://drive.google.com/file/d/1bxhGNre1vpE1npaAabn9xnXbMHUUST6J/view?usp=sharing
2014,Proporcional,Deputado Federal,,PSDC,https://drive.google.com/file/d/1Y3MGN266PsQXzNPH-6o8a1eJj4HWKBny/view?usp=sharing
2014,Proporcional,Deputado Federal,,PSL,https://drive.google.com/file/d/1zeoColClc19zm8IzLi_qIiNBFgTsxUkt/view?usp=sharing
2014,Proporcional,Deputado Federal,,PSOL,https://drive.google.com/file/d/1l09-IYZiaLoQvIadzJu-v24kFvoL_0NE/view?usp=sharing
2014,Proporcional,Deputado Federal,,PSTU,https://drive.google.com/file/d/1MxhmAdTJ4f0cwm3HEPXMqOkicaBRNvKv/view?usp=sharing
2014,Proporcional,Deputado Federal,,PT,https://drive.google.com/file/d/1l2JpjaD3WaIiQZVU9AIH7GJ4bfRy1q__/view?usp=sharing
2014,Proporcional,Deputado Federal,,PT do B,https://drive.google.com/file/d/1-iSPbbzpd2TOyRyzZeLolkeLe1_AW15U/view?usp=sharing
2014,Proporcional,Deputado Federal,,PTB,https://drive.google.com/file/d/1InG47Ypyp1jL2I5gYriJtiiLGSS7XIGy/view?usp=sharing
2014,Proporcional,Deputado Federal,,PTC,https://drive.google.com/file/d/1ak5qi4dvysaWwZr5TcMPkZBkmjRrhON2/view?usp=sharing
2014,Proporcional,Deputado Federal,,PTN,https://drive.google.com/file/d/1RruakQNNM8DttdcLiXM9ra5phyAfeHBy/view?usp=sharing
2014,Proporcional,Deputado Federal,,PV,https://drive.google.com/file/d/1J9001YFaQczcQAce1exJ5h82266P2YKN/view?usp=sharing
2014,Proporcional,Deputado Federal,,SDD,https://drive.google.com/file/d/1zQCybtOppKQL7uSdPxeelaH3QpCWEVj6/view?usp=sharing
2014,Majoritaria,Governador,,,https://drive.google.com/file/d/1VdzqHTmND8N65z5KYcD1XhKWaM68VuWL/view?usp=sharing
2014,Majoritaria,Presidente,,,https://drive.google.com/file/d/14ElCBwLb_ND6UhIAMXmZAy1fD7MhTM_5/view?usp=sharing
2014,Majoritaria,Senador,,,https://drive.google.com/file/d/1ZquPRQ6p-_ZH8NN_3J1xOFPvyT0MP9Zg/view?usp=sharing
